Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z2
Reinscripción UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,5.0,0.0,0.0,Nivel 3.5,1.0,0,-0.7577271958082569
Solicitud de Examen de Admisión UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,3.0,1.0,Nivel 1,1.0,2,0.21844940584207273
Solicitud de examen de admisión UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,4.0,1.0,,1.0,2,0.4261269562708193
Prestación de servicios de la Alberca semiolímpica del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,60.0,3.0,3.0,Nivel 2,1.0,2,0.558585919963314
Reposición de Credencial UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,480.0,1.0,0.0,Nivel 1,1.0,2,0.25730032678752424
Constancia Escolar UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,1455.0,1.0,0.0,,1.0,2,0.13539123689036306
Publicación en el Periódico Oficial de Avisos Judiciales que deberán publicarse por disposición de Ley.,Secretaría de Gobierno,Secretaría de Gobierno,20.0,0.0,0.0,Nivel 1,1.0,2,-0.21690125288526685
"Certificación en estándares de competencia del CONOCER, a través del ICATHI",Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,30.0,2.0,0.0,Nivel 1,1.0,2,-0.10544674115022912
Inscripción UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,6.0,0.0,,1.0,2,0.4198024149220281
Inscripción a los cursos de capacitación presenciales del ICATHI,Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,60.0,1.0,1.0,Nivel 3.1,1.0,2,-0.2870791455099878
Titulación UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,518400.0,8.0,0.0,Nivel 3.9,1.0,0,0.4858731546016931
Emisión de constancias de estudio UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,10.0,1.0,0.0,Nivel 1,1.0,2,-0.26873974735284833
Certificado de Estudios UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,21600.0,1.0,0.0,Nivel 1,1.0,2,0.30870369603760256
Admisión- UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,1440.0,3.0,0.0,,1.0,2,0.22998397163531778
Historial Académico UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,180.0,1.0,0.0,Nivel 3.7,1.0,0,-0.40824641333485856
Titulación UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,7.0,2.0,Nivel 3.1,1.0,2,0.869028429124154
Inscripción UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,5.0,0.0,Nivel 4.3,1.0,0,-0.5522459583410907
Credencialización UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,15.0,0.0,0.0,Nivel 3.5,1.0,0,-0.67909654964327
Capacitación en elaboración de quesos y derivados lácteos.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,14400.0,1.0,1.0,Nivel 2,0.0,1,-0.2980177903607344
